Order_ID,Date,Product,Category,Quantity,Unit_Price,Discount,Customer
1001,2026-01-05,Running Shoes,Footwear,2,2500,100,Rahul
1002,2026-01-06,Cotton Shirt,Apparel,3,1200,0,Priya
1003,2026-01-07,Running Shoes,Footwear,1,2500,50,Amit
1004,2026-01-08,Jeans,Apparel,2,1800,100,Neha
1005,2026-01-10,Cotton Shirt,Apparel,4,1200,200,Rohan
1006,2026-01-12,Running Shoes,Footwear,1,2500,0,Anjali
1007,2026-01-13,Jeans,Apparel,2,1800,100,Vikram
1008,2026-01-15,Hoodie,Apparel,3,2200,150,Priya
1009,2026-01-17,Running Shoes,Footwear,2,2500,100,Rahul
1010,2026-01-20,Hoodie,Apparel,1,2200,0,Neha
